year,gender,relation,population
2011,Male,Friend;Family/Relative,0
2011,Male,Friend;Family/Relative;Other,0
2011,Male,Friend;Other,0
2011,Male,Friend;Unknown,0
2011,Male,Intimate Partner,0
2011,Male,Intimate Partner;Family/Relative,0
2011,Male,Intimate Partner;Friend,0
2011,Male,Intimate Partner;Friend;Other,0
2011,Male,Intimate Partner;Other,0
2011,Male,Intimate Partner;Unknown,0
2011,Male,Other,0
2011,Male,Other;Unknown,0
2011,Male,Unknown,628
2011,Unknown,Family/Relative,0
2011,Unknown,Family/Relative;Other,0
2011,Unknown,Family/Relative;Unknown,0
2011,Unknown,Friend,0
2011,Unknown,Friend;Family/Relative,0
2011,Unknown,Friend;Family/Relative;Other,0
2011,Unknown,Friend;Other,0
2011,Unknown,Friend;Unknown,0
2011,Unknown,Intimate Partner,0
2011,Unknown,Intimate Partner;Family/Relative,0
2011,Unknown,Intimate Partner;Friend,0
2011,Unknown,Intimate Partner;Friend;Other,0
2011,Unknown,Intimate Partner;Other,0
2011,Unknown,Intimate Partner;Unknown,0
2011,Unknown,Other,0
2011,Unknown,Other;Unknown,0
2011,Unknown,Unknown,0
2012,Female,Family/Relative,5
2012,Female,Family/Relative;Other,0
2012,Female,Family/Relative;Unknown,0
2012,Female,Friend,0
2012,Female,Friend;Family/Relative,0
2012,Female,Friend;Family/Relative;Other,0
2012,Female,Friend;Other,0
2012,Female,Friend;Unknown,0
2012,Female,Intimate Partner,0
2012,Female,Intimate Partner;Family/Relative,0
2012,Female,Intimate Partner;Friend,0
2012,Female,Intimate Partner;Friend;Other,0
2012,Female,Intimate Partner;Other,0
2012,Female,Intimate Partner;Unknown,0
2012,Female,Other,82
2012,Female,Other;Unknown,0
2012,Female,Unknown,633
2012,Male,Family/Relative,2
2012,Male,Family/Relative;Other,0
2012,Male,Family/Relative;Unknown,0
2012,Male,Friend,0
2012,Male,Friend;Family/Relative,0
2012,Male,Friend;Family/Relative;Other,0
2012,Male,Friend;Other,0
2012,Male,Friend;Unknown,0
2012,Male,Intimate Partner,0
2012,Male,Intimate Partner;Family/Relative,0
2012,Male,Intimate Partner;Friend,0
2012,Male,Intimate Partner;Friend;Other,0
2012,Male,Intimate Partner;Other,0
2012,Male,Intimate Partner;Unknown,0
2012,Male,Other,31
2012,Male,Other;Unknown,0
2012,Male,Unknown,642
2012,Unknown,Family/Relative,0
2012,Unknown,Family/Relative;Other,0
2012,Unknown,Family/Relative;Unknown,0
2012,Unknown,Friend,0
2012,Unknown,Friend;Family/Relative,0
2012,Unknown,Friend;Family/Relative;Other,0
2012,Unknown,Friend;Other,0
2012,Unknown,Friend;Unknown,0
2012,Unknown,Intimate Partner,0
2012,Unknown,Intimate Partner;Family/Relative,0
2012,Unknown,Intimate Partner;Friend,0
2012,Unknown,Intimate Partner;Friend;Other,0
2012,Unknown,Intimate Partner;Other,0
2012,Unknown,Intimate Partner;Unknown,0
2012,Unknown,Other,0
2012,Unknown,Other;Unknown,0
2012,Unknown,Unknown,0
2013,Female,Family/Relative,0
2013,Female,Family/Relative;Other,0
2013,Female,Family/Relative;Unknown,0
2013,Female,Friend,0
2013,Female,Friend;Family/Relative,0
2013,Female,Friend;Family/Relative;Other,0
2013,Female,Friend;Other,0
2013,Female,Friend;Unknown,0
2013,Female,Intimate Partner,0
2013,Female,Intimate Partner;Family/Relative,0
2013,Female,Intimate Partner;Friend,0
2013,Female,Intimate Partner;Friend;Other,0
2013,Female,Intimate Partner;Other,0
2013,Female,Intimate Partner;Unknown,0
